date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot,real_estate_value,district_translated,latitude,longitude
2021-07-28,Al Rayyan,Al Maamoura,Residence,962,289.716,3000000,Al Maamoura,24.928100723590358,51.08167176463156
2021-07-28,Al Sheehaniya,Lijmiliya,Residence,719,119.719,926875,Lijmiliya,25.40577484497763,51.03236031637194
2021-07-28,Al Daayen,Jeryan Jenaihat,Vacant Land,900,309.674,3000000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2021-07-28,Al Wakrah,Al Wakrah,Residence,553,251.995,1500000,Al Wakrah,,
2021-07-28,Al Wakrah,Al Wukair,Vacant Land,680,232.256,1700000,Al Wukair,,
2021-07-28,Al Wakrah,Al Wukair,Vacant Land,779,250.443,2100000,Al Wukair,,
2021-07-28,Umm Salal,Umm Slal Muhammed,Vacant Land,608,229.2,1500000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2021-07-28,Doha,New Al Hitmi,Multi-purpose Building,453,430.673,2100000,New Al Hitmi,25.277967458892473,51.52339248614074
2021-07-28,Al Rayyan,Al Maamoura,Vacant Land,953,272.955,2800000,Al Maamoura,24.928100723590358,51.08167176463156
2021-07-28,Al Daayen,Al Sakhama,Vacant Land,2175,213.568,5000000,Al Sakhama,25.506442965229745,51.466419091145966
2021-07-28,Al Wakrah,Al Wukair,Residence,480,435.479,2250000,Al Wukair,,
2021-07-27,Umm Salal,Umm Al Amad,Vacant Land,630,225.62,1530000,Umm Al Amad,25.468814293441394,51.34446945529472
2021-07-27,Doha,Fareej Abdulaziz,Multi-purpose Building,246,1586.136,4200000,Fareej Abdulaziz,25.277967458892473,51.52339248614074
2021-07-27,Al Wakrah,Al Mashaf,Vacant Land,999,232.488,2500000,Al Mashaf,,
2021-07-27,Doha,Nuaija,Residence,568,425.257,2600000,Nuaija,25.277967458892473,51.52339248614074
2021-07-27,Al Rayyan,Izghawa,Vacant Land,980,259.937,2742000,Izghawa,24.928100723590358,51.08167176463156
2021-07-27,Al Rayyan,Al Waab,Vacant Land,9445,455.466,46305426,Al Waab,24.928100723590358,51.08167176463156
2021-07-27,Doha,Al Messila,Vacant Land,807,575.603,5000000,Al Messila,25.277967458892473,51.52339248614074
2021-07-27,Al Daayen,Umm Qarn,Vacant Land,416,223.323,1000000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-27,Al Daayen,Jeryan Jenaihat,Residence,398,625.573,2680000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2021-07-26,Doha,Umm Lekhba,Residence,450,619.348,3000000,Umm Lekhba,25.277967458892473,51.52339248614074
2021-07-26,Doha,Hazm Al Markhiya,Residence,1168,477.238,6000000,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2021-07-26,Al Rayyan,Al Luqta,Vacant Land,451,288.388,1400000,Al Luqta,24.928100723590358,51.08167176463156
2021-07-26,Al Shamal,Aba Al Dalouf,Vacant Land,1167,119.412,1500000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2021-07-26,Doha,Madinat Khalifa North,Multi-purpose Building,744,2434.938,19500000,Madinat Khalifa North,25.277967458892473,51.52339248614074
2021-07-26,Al Daayen,Umm Qarn,Vacant Land,784,205.001,1730000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-26,Al Khor,Al Khor,Residential Building,508,387.23,2117415,Al Khor,,
2021-07-26,Al Rayyan,Rawdat Egdaim,Vacant Land,910,311.376,3050000,Rawdat Egdaim,24.928100723590358,51.08167176463156
2021-07-26,Al Wakrah,Al Wukair,Residence,1056,580.639,6600000,Al Wukair,,
2021-07-15,Umm Salal,Izghawa,Vacant Land,609,381.372,2500000,Izghawa,25.468814293441394,51.34446945529472
2021-07-15,Umm Salal,Izghawa,Vacant Land,615,392.758,2600000,Izghawa,25.468814293441394,51.34446945529472
2021-07-15,Umm Salal,Izghawa,Vacant Land,620,389.59,2600000,Izghawa,25.468814293441394,51.34446945529472
2021-07-15,Umm Salal,Umm Slal Ali,Vacant Land,540,258.062,1500000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-15,Doha,Fereej Bin Mahmoud,Residential Building,367,1771.978,7000000,Fereej Bin Mahmoud,25.277967458892473,51.52339248614074
2021-07-15,Doha,Legtaifiya,Residence,1225,470.199,6200000,Legtaifiya,25.277967458892473,51.52339248614074
2021-07-15,Al Rayyan,Muaither,Residence,345,328.524,1220000,Muaither,24.928100723590358,51.08167176463156
2021-07-15,Al Shamal,Aba Al Dalouf,Vacant Land,1200,119.999,1550000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2021-07-15,Umm Salal,Umm Al Amad,Vacant Land,1120,149.307,1800000,Umm Al Amad,25.468814293441394,51.34446945529472
2021-07-15,Umm Salal,Umm Al Amad,Vacant Land,1560,142.927,2400000,Umm Al Amad,25.468814293441394,51.34446945529472
2021-07-15,Umm Salal,Umm Slal Ali,Vacant Land,589,268.139,1700000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-15,Doha,Fereej Bin Omran,Residential Building,371,1051.724,4200000,Fereej Bin Omran,25.277967458892473,51.52339248614074
2021-07-15,Doha,Madinat Khalifa North,Multi-purpose Building,743,2875.844,23000000,Madinat Khalifa North,25.277967458892473,51.52339248614074
2021-07-15,Al Rayyan,Al Sheehaniya,Residence,1360,245.918,3600000,Al Sheehaniya,24.928100723590358,51.08167176463156
2021-07-15,Al Rayyan,Gharrafat Al Rayyan,Residence,475,400.947,2050000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2021-07-15,Al Rayyan,Gharrafat Al Rayyan,Residence,1280,300.0,4133376,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2021-07-15,Al Rayyan,Gharrafat Al Rayyan,Residence,656,403.615,2850000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2021-07-15,Al Rayyan,Fereej Al Manaseer,Vacant Land,1060,236.638,2700000,Fereej Al Manaseer,24.928100723590358,51.08167176463156
2021-07-15,Al Shamal,Madinat Al Shamal,Residence,724,513.272,4000000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2021-07-15,Umm Salal,Umm Slal Muhammed,Residence,843,385.715,3500000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2021-07-15,Al Rayyan,Al Sheehaniya,Residence,717,233.227,1800000,Al Sheehaniya,24.928100723590358,51.08167176463156
2021-07-15,Al Rayyan,Muaither,Vacant Land,542,210.005,1225189,Muaither,24.928100723590358,51.08167176463156
2021-07-15,Al Wakrah,Al Wakrah,Vacant Land,540,258.062,1500000,Al Wakrah,,
2021-07-15,Al Wakrah,Al Wakrah,Residence,759,489.604,4000000,Al Wakrah,,
2021-07-14,Doha,Jeryan Najima,Residence,1225,227.516,3000000,Jeryan Najima,25.277967458892473,51.52339248614074
2021-07-14,Al Rayyan,Fereej Al Manaseer,Residence,900,361.287,3500000,Fereej Al Manaseer,24.928100723590358,51.08167176463156
2021-07-14,Al Shamal,Aba Al Dalouf,Vacant Land,600,139.353,900000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2021-07-14,Umm Salal,Umm Slal Ali,Vacant Land,594,234.602,1500000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-14,Al Rayyan,Izghawa,Residence,2700,309.674,9000000,Izghawa,24.928100723590358,51.08167176463156
2021-07-14,Al Daayen,Al Sakhama,Residence,617,526.998,3500000,Al Sakhama,25.506442965229745,51.466419091145966
2021-07-14,Al Daayen,Umm Qarn,Vacant Land,417,294.97,1324000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-14,Al Daayen,Jeryan Jenaihat,Vacant Land,540,275.266,1600000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2021-07-14,Al Wakrah,Al Wakrah,Residence,1263,498.642,6779000,Al Wakrah,,
2021-07-14,Al Rayyan,Lebday,Vacant Land,900,278.707,2700000,Lebday,24.928100723590358,51.08167176463156
2021-07-14,Al Rayyan,Muaither,Residence,990,327.062,3485291,Muaither,24.928100723590358,51.08167176463156
2021-07-14,Al Shamal,Aba Al Dalouf,Vacant Land,1168,119.309,1500000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2021-07-14,Al Wakrah,Al Wukair,Residence,660,281.522,2000000,Al Wukair,,
2021-07-13,Umm Salal,Umm Slal Ali,Vacant Land,594,270.105,1727000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-13,Doha,Legtaifiya,Residence,1225,352.649,4650000,Legtaifiya,25.277967458892473,51.52339248614074
2021-07-13,Al Rayyan,Izghawa,Vacant Land,1009,276.221,3000000,Izghawa,24.928100723590358,51.08167176463156
2021-07-13,Al Rayyan,Izghawa,Vacant Land,1086,259.545,3034000,Izghawa,24.928100723590358,51.08167176463156
2021-07-13,Al Rayyan,Al Mearad,Residence,1023,272.441,3000000,Al Mearad,24.928100723590358,51.08167176463156
2021-07-13,Al Rayyan,Muaither,Residence,518,327.062,1823617,Muaither,24.928100723590358,51.08167176463156
2021-07-13,Al Daayen,Al Sakhama,Residence,457,365.917,1800000,Al Sakhama,25.506442965229745,51.466419091145966
2021-07-13,Al Daayen,Al Sakhama,Residence,459,364.323,1800000,Al Sakhama,25.506442965229745,51.466419091145966
2021-07-13,Umm Salal,Al Kharaitiyat,Vacant Land,1964,359.5,7600000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2021-07-13,Umm Salal,Umm Slal Ali,Vacant Land,540,261.503,1520000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-13,Al Khor,Al Khor,Residence,600,271.061,1750619,Al Khor,,
2021-07-13,Al Rayyan,Old Al Rayyan,Residence,937,397.064,4004735,Old Al Rayyan,24.928100723590358,51.08167176463156
2021-07-13,Al Rayyan,Al Aziziya,Commercial Building,3675,1794.847,71000000,Al Aziziya,24.928100723590358,51.08167176463156
2021-07-13,Al Daayen,Jeryan Jenaihat,Residence,1500,349.994,5651000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2021-07-13,Al Daayen,Simaisma,Residence,634,439.601,3000000,Simaisma,25.506442965229745,51.466419091145966
2021-07-13,Al Daayen,Lusail,Vacant Land,7927,577.782,49300000,Lusail,25.506442965229745,51.466419091145966
2021-07-13,Umm Salal,Umm Al Amad,Vacant Land,1431,191.518,2950000,Umm Al Amad,25.468814293441394,51.34446945529472
2021-07-13,Umm Salal,Umm Slal Ali,Vacant Land,540,240.858,1400000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-13,Doha,Al Thumama,Residence,687,473.301,3500000,Al Thumama,25.277967458892473,51.52339248614074
2021-07-13,Doha,Madinat Khalifa South,Residence,610,432.529,2840000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2021-07-13,Al Rayyan,Al Gharrafa,Residence,1165,362.438,4545000,Al Gharrafa,24.928100723590358,51.08167176463156
2021-07-13,Al Daayen,Al Sakhama,Residence,463,361.175,1800000,Al Sakhama,25.506442965229745,51.466419091145966
2021-07-13,Al Daayen,Lusail,Vacant Land,6388,737.343,50700000,Lusail,25.506442965229745,51.466419091145966
2021-07-13,Al Wakrah,Al Wakrah,Residence,807,506.53,4400000,Al Wakrah,,
2021-07-13,Al Wakrah,Muaither  Al Wukair,Vacant Land,998,215.0,2309632,Muaither  Al Wukair,,
2021-07-12,Umm Salal,Umm Slal Ali,Vacant Land,540,175.482,1020000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-12,Umm Salal,Umm Slal Ali,Vacant Land,540,249.46,1450000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-12,Umm Salal,Umm Slal Ali,Vacant Land,589,269.716,1710000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-12,Umm Salal,Umm Slal Ali,Vacant Land,594,265.882,1700000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-12,Al Khor,Al Dakhira,Residence,777,358.696,3000000,Al Dakhira,,
2021-07-12,Doha,Al Thumama,Residence,450,495.479,2400000,Al Thumama,25.277967458892473,51.52339248614074
2021-07-12,Doha,Fereej Bin Mahmoud,Residential Building,670,831.961,6000000,Fereej Bin Mahmoud,25.277967458892473,51.52339248614074
2021-07-12,Al Rayyan,Al Sheehaniya,Residence,1328,238.604,3410740,Al Sheehaniya,24.928100723590358,51.08167176463156
2021-07-12,Al Daayen,Lusail,Residence,1269,915.113,12500000,Lusail,25.506442965229745,51.466419091145966
2021-07-12,Al Wakrah,Al Wakrah,Vacant Land,481,347.659,1800000,Al Wakrah,,
2021-07-12,Al Wakrah,Al Wakrah,Vacant Land,503,340.765,1845000,Al Wakrah,,
2021-07-12,Umm Salal,Umm Slal Ali,Vacant Land,594,179.861,1150000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-12,Umm Salal,Umm Slal Ali,Vacant Land,666,269.919,1935000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-12,Al Khor,Al Dakhira,Vacant Land,900,140.003,1356295,Al Dakhira,,
2021-07-12,Doha,Rawdat Al Khail,Residential Building,565,2219.789,13500000,Rawdat Al Khail,25.277967458892473,51.52339248614074
2021-07-12,Doha,Onaiza,Residence,900,412.899,4000000,Onaiza,25.277967458892473,51.52339248614074
2021-07-12,Doha,Madinat Khalifa South,Residence,907,366.693,3580000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2021-07-12,Al Rayyan,New  Al Ghanim,Vacant Land,4214,246.607,11186000,New Al Ghanim,24.928100723590358,51.08167176463156
2021-07-12,Al Rayyan,Bu Sidra,Residence,551,556.402,3300000,Bu Sidra,24.928100723590358,51.08167176463156
2021-07-12,Al Rayyan,Mebaireek,Residence,1165,148.325,1860000,Mebaireek,24.928100723590358,51.08167176463156
2021-07-12,Doha,Umm Lekhba,Vacant Land,5364,381.031,22000000,Umm Lekhba,25.277967458892473,51.52339248614074
2021-07-12,Doha,Madinat Khalifa North,Residence,760,427.839,3500000,Madinat Khalifa North,25.277967458892473,51.52339248614074
2021-07-12,Al Rayyan,Fereej Al Murrah,Residence,763,236.453,1941969,Fereej Al Murrah,24.928100723590358,51.08167176463156
2021-07-12,Al Rayyan,Muaither,Residence,832,245.655,2200000,Muaither,24.928100723590358,51.08167176463156
2021-07-12,Al Shamal,Al Ruwais,Vacant Land,648,157.704,1100000,Al Ruwais,25.995427919236633,51.2017975520098
2021-07-12,Al Wakrah,Al Wakrah,Vacant Land,492,355.937,1885000,Al Wakrah,,
2021-07-12,Al Wakrah,Al Wukair,Residence,600,232.256,1500000,Al Wukair,,
2021-07-12,Al Wakrah,Al Wukair,Residence,750,300.007,2421957,Al Wukair,,
2021-07-11,Al Khor,Al Khor,Residence,600,356.125,2300000,Al Khor,,
2021-07-11,Doha,Duhail,Vacant Land,868,428.121,4000000,Duhail,25.277967458892473,51.52339248614074
2021-07-11,Doha,Duhail,Residence,478,397.064,2042970,Duhail,25.277967458892473,51.52339248614074
2021-07-11,Al Rayyan,New Al Rayyan,Residence,1143,282.852,3480000,New Al Rayyan,24.928100723590358,51.08167176463156
2021-07-11,Al Sheehaniya,Al Sheehaniya,Residence,762,121.919,1000000,Al Sheehaniya,25.40577484497763,51.03236031637194
2021-07-11,Al Daayen,Al Kheesa,Residence,523,386.563,2176187,Al Kheesa,25.506442965229745,51.466419091145966
2021-07-11,Al Daayen,Umm Qarn,Vacant Land,539,258.541,1500000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-11,Al Daayen,Umm Qarn,Vacant Land,540,258.062,1500000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-11,Al Khor,Al Khor,Residence,490,387.23,2042389,Al Khor,,
2021-07-11,Doha,Al Thumama,Residence,450,397.064,1923299,Al Thumama,25.277967458892473,51.52339248614074
2021-07-11,Doha,Hazm Al Markhiya,Residence,2401,687.237,17761194,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2021-07-11,Umm Salal,Al Kharaitiyat,Residence,525,442.392,2500000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2021-07-11,Al Khor,Al Khor,Residence,602,354.942,2300000,Al Khor,,
2021-07-11,Doha,Hazm Al Markhiya,Residence,2402,686.951,17761194,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2021-07-11,Al Rayyan,New Al Rayyan,Residence,743,281.333,2250000,New Al Rayyan,24.928100723590358,51.08167176463156
2021-07-11,Al Sheehaniya,Lijmiliya,Residence,492,214.003,1133333,Lijmiliya,25.40577484497763,51.03236031637194
2021-07-11,Al Daayen,Umm Qarn,Vacant Land,400,255.481,1100000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-11,Al Daayen,Umm Qarn,Vacant Land,513,271.644,1500000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-11,Al Daayen,Umm Qarn,Vacant Land,514,198.818,1100000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-08,Umm Salal,Umm Ebairiya,Vacant Land,404,289.745,1260000,Umm Ebairiya,25.468814293441394,51.34446945529472
2021-07-08,Al Daayen,Al Kheesa,Residence,522,391.542,2200000,Al Kheesa,25.506442965229745,51.466419091145966
2021-07-08,Al Daayen,Al Kheesa,Residence,528,387.093,2200000,Al Kheesa,25.506442965229745,51.466419091145966
2021-07-08,Al Daayen,Leabaib,Residence,1225,455.032,6000000,Leabaib,25.506442965229745,51.466419091145966
2021-07-08,Doha,Al Thumama,Residence,465,505.268,2529000,Al Thumama,25.277967458892473,51.52339248614074
2021-07-08,Al Rayyan,Muaither,Residence,529,351.237,2000000,Muaither,24.928100723590358,51.08167176463156
2021-07-08,Al Daayen,Al Kheesa,Residence,525,389.305,2200000,Al Kheesa,25.506442965229745,51.466419091145966
2021-07-08,Al Khor,Al Khor,Vacant Land,457,240.0,1180595,Al Khor,,
2021-07-08,Al Khor,Al Khor,Residence,600,271.061,1750619,Al Khor,,
2021-07-08,Doha,Al Thumama,Residence,449,425.993,2058841,Al Thumama,25.277967458892473,51.52339248614074
2021-07-08,Doha,Fereej Al Aseeri,Residence,563,577.545,3500000,Fereej Al Aseeri,25.277967458892473,51.52339248614074
2021-07-08,Doha,Fereej Al Nasr,Apartment Complex,6436,360.87,25000000,Fereej Al Nasr,25.277967458892473,51.52339248614074
2021-07-08,Al Rayyan,New Al Rayyan,Residence,598,598.117,3850000,New Al Rayyan,24.928100723590358,51.08167176463156
2021-07-08,Al Rayyan,Al Aziziya,Residence,1032,414.099,4600000,Al Aziziya,24.928100723590358,51.08167176463156
2021-07-08,Al Rayyan,Baaya,Residence,12564,391.899,53000000,Baaya,24.928100723590358,51.08167176463156
2021-07-08,Al Rayyan,Ain Khalid,Residence,365,721.583,2835000,Ain Khalid,24.928100723590358,51.08167176463156
2021-07-08,Al Daayen,Umm Qarn,Residence,422,309.561,1406154,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-08,Al Daayen,Jeryan Jenaihat,Vacant Land,570,339.99,2086000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2021-07-08,Al Daayen,Jeryan Jenaihat,Residence,1267,362.957,4950000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2021-07-07,Doha,Legtaifiya,Vacant Land,1914,388.306,8000000,Legtaifiya,25.277967458892473,51.52339248614074
2021-07-07,Al Rayyan,Izghawa,Vacant Land,996,265.0,2841050,Izghawa,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Izghawa,Vacant Land,1009,265.0,2878132,Izghawa,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Al Sheehaniya,Residence,1200,239.998,3100000,Al Sheehaniya,24.928100723590358,51.08167176463156
2021-07-07,Al Daayen,Rawdat Al Hamama,Residence,1200,541.93,7000000,Rawdat Al Hamama,25.506442965229745,51.466419091145966
2021-07-07,Al Wakrah,Al Wukair,Residence,422,365.445,1660000,Al Wukair,,
2021-07-07,Umm Salal,Umm Ebairiya,Vacant Land,395,282.235,1200000,Umm Ebairiya,25.468814293441394,51.34446945529472
2021-07-07,Doha,New Slata,Vacant Land,360,438.705,1700000,New Slata,25.277967458892473,51.52339248614074
2021-07-07,Doha,New Slata,Vacant Land,498,429.067,2300000,New Slata,25.277967458892473,51.52339248614074
2021-07-07,Doha,Umm Ghuwailina,Residential Building,224,2115.186,5100000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2021-07-07,Doha,Duhail,Residence,1570,414.214,7000000,Duhail,25.277967458892473,51.52339248614074
2021-07-07,Doha,Rawdat Al Khail,Residential Building,1234,1430.424,19000000,Rawdat Al Khail,25.277967458892473,51.52339248614074
2021-07-07,Doha,Rawdat Al Khail,Residential Building,4482,1409.494,68000000,Rawdat Al Khail,25.277967458892473,51.52339248614074
2021-07-07,Doha,Madinat Khalifa North,Residence,941,345.545,3500000,Madinat Khalifa North,25.277967458892473,51.52339248614074
2021-07-07,Al Rayyan,Izghawa,Vacant Land,966,265.0,2755476,Izghawa,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Izghawa,Vacant Land,969,265.0,2764033,Izghawa,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Al Aziziya,Residence,803,462.776,4000000,Al Aziziya,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Al Mearad,Residence,960,338.706,3500000,Al Mearad,24.928100723590358,51.08167176463156
2021-07-07,Al Daayen,Umm Qarn,Vacant Land,417,289.623,1300000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-07,Al Daayen,Umm Qarn,Vacant Land,490,284.395,1500000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-07,Al Daayen,Umm Qarn,Vacant Land,740,225.978,1800000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-07,Umm Salal,Umm Ebairiya,Vacant Land,396,234.602,1000000,Umm Ebairiya,25.468814293441394,51.34446945529472
2021-07-07,Umm Salal,Umm Ebairiya,Vacant Land,444,230.163,1100000,Umm Ebairiya,25.468814293441394,51.34446945529472
2021-07-07,Al Khor,Al Khor,Vacant Land,474,220.006,1122498,Al Khor,,
2021-07-07,Doha,New Slata,Residence,383,970.259,4000000,New Slata,25.277967458892473,51.52339248614074
2021-07-07,Doha,New Slata,Residence,429,866.222,4000000,New Slata,25.277967458892473,51.52339248614074
2021-07-07,Doha,New Slata,Residence,900,361.287,3500000,New Slata,25.277967458892473,51.52339248614074
2021-07-07,Doha,Al Sadd,Residential Building,8222,1435.036,127003000,Al Sadd,25.277967458892473,51.52339248614074
2021-07-07,Doha,Duhail,Residence,478,485.891,2500000,Duhail,25.277967458892473,51.52339248614074
2021-07-07,Al Rayyan,Old Al Rayyan,Vacant Land,972,248.504,2600000,Old Al Rayyan,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Al Mearad,Vacant Land,1400,212.348,3200000,Al Mearad,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Fereej Al Murrah,Residence,751,272.15,2200000,Fereej Al Murrah,24.928100723590358,51.08167176463156
2021-07-07,Al Rayyan,Luaib,Vacant Land,960,290.32,3000000,Luaib,24.928100723590358,51.08167176463156
2021-07-07,Al Daayen,Umm Qarn,Residence,400,545.801,2350000,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-07,Al Daayen,Umm Qarn,Residence,364,418.38,1639254,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-07,Al Wakrah,Al Wakrah,Residence,648,286.735,2000000,Al Wakrah,,
2021-07-06,Umm Salal,Umm Slal Muhammed,Vacant Land,1374,236.651,3500000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2021-07-06,Doha,Al Hilal,Residence,901,556.795,5400000,Al Hilal,25.277967458892473,51.52339248614074
2021-07-06,Al Rayyan,Gharrafat Al Rayyan,Residence,437,531.477,2500000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2021-07-06,Al Shamal,Aba Al Dalouf,Vacant Land,900,123.87,1200000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2021-07-06,Al Wakrah,Al Wakrah,Residential Building,422,916.683,4160000,Al Wakrah,,
2021-07-06,Al Wakrah,Al Wakrah,Residence,608,313.765,2054790,Al Wakrah,,
2021-07-06,Al Wakrah,Al Wukair,Vacant Land,773,180.276,1500000,Al Wukair,,
2021-07-06,Al Wakrah,Al Wukair,Residence,600,441.286,2850000,Al Wukair,,
2021-07-06,Al Rayyan,Fereej Al Manaseer,Residence,900,340.642,3300000,Fereej Al Manaseer,24.928100723590358,51.08167176463156
2021-07-06,Al Daayen,Al Sakhama,Vacant Land,600,371.609,2400000,Al Sakhama,25.506442965229745,51.466419091145966
2021-07-06,Al Wakrah,Al Wakrah,Residence,713,320.862,2461840,Al Wakrah,,
2021-07-06,Al Wakrah,Al Wakrah,Vacant Land,1423,309.457,4740000,Al Wakrah,,
2021-07-06,Al Wakrah,Al Wukair,Vacant Land,600,250.0,1614600,Al Wukair,,
2021-07-06,Umm Salal,Umm Ebairiya,Residence,450,536.769,2600000,Umm Ebairiya,25.468814293441394,51.34446945529472
2021-07-06,Doha,Al Thumama,Residence,601,695.608,4500000,Al Thumama,25.277967458892473,51.52339248614074
2021-07-06,Doha,Fereej Abdel Aziz,Residence,132,1548.371,2205000,Fereej Abdel Aziz,25.277967458892473,51.52339248614074
2021-07-06,Al Rayyan,Al Aziziya,Residence,1006,350.923,3800000,Al Aziziya,24.928100723590358,51.08167176463156
2021-07-06,Al Rayyan,Gharrafat Al Rayyan,Residence,450,516.124,2500000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2021-07-06,Al Shamal,Al Ruwais,Vacant Land,990,121.993,1300000,Al Ruwais,25.995427919236633,51.2017975520098
2021-07-06,Al Wakrah,Al Wakrah,Vacant Land,481,352.194,1821960,Al Wakrah,,
2021-07-06,Al Wakrah,Al Wakrah,Residence,536,317.358,1831000,Al Wakrah,,
2021-07-06,Al Wakrah,Al Wukair,Vacant Land,965,205.059,2130000,Al Wukair,,
2021-07-05,Umm Salal,Umm Slal Ali,Residence,400,452.899,1950000,Umm Slal Ali,25.468814293441394,51.34446945529472
2021-07-05,Doha,Al Thumama,Residence,491,280.007,1479873,Al Thumama,25.277967458892473,51.52339248614074
2021-07-05,Doha,Al Messila,Residence,900,516.124,5000000,Al Messila,25.277967458892473,51.52339248614074
2021-07-05,Doha,Hazm Al Markhiya,Residence,886,650.106,6200000,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2021-07-05,Doha,Najma,Vacant Land,142,686.953,1050000,Najma,25.277967458892473,51.52339248614074
2021-07-05,Al Rayyan,Muaither,Residence,574,327.062,2020765,Muaither,24.928100723590358,51.08167176463156
2021-07-05,Al Daayen,Al Sakhama,Vacant Land,4115,248.341,11000000,Al Sakhama,25.506442965229745,51.466419091145966
2021-07-05,Al Daayen,Al Ebb,Vacant Land,540,340.642,1980000,Al Ebb,25.506442965229745,51.466419091145966
2021-07-05,Al Wakrah,Al Wukair,Vacant Land,947,140.003,1427124,Al Wukair,,
2021-07-05,Al Khor,Al Khor,Residence,525,283.131,1600000,Al Khor,,
2021-07-05,Al Rayyan,Fereej Al Manaseer,Residence,486,382.314,2000000,Fereej Al Manaseer,24.928100723590358,51.08167176463156
2021-07-05,Doha,Al Thumama,Vacant Land,677,301.898,2200000,Al Thumama,25.277967458892473,51.52339248614074
2021-07-05,Doha,Al Messila,Residence,882,526.657,5000000,Al Messila,25.277967458892473,51.52339248614074
2021-07-05,Doha,Al Hilal,Residence,774,456.109,3800000,Al Hilal,25.277967458892473,51.52339248614074
2021-07-05,Al Daayen,Umm Qarn,Residence,364,292.866,1147478,Umm Qarn,25.506442965229745,51.466419091145966
2021-07-04,Al Khor,Al Khor,Residence,440,348.384,1650000,Al Khor,,
2021-07-04,Doha,Al Thumama,Residence,420,398.153,1800000,Al Thumama,25.277967458892473,51.52339248614074
2021-07-04,Doha,Al Mirqab,Residential Building,1378,9640.801,143000000,Al Mirqab,25.277967458892473,51.52339248614074
